,Combustión primaria,Ventilación,Forzamiento fotoquímico,comunalidad,unicidad
TOUT_max,-0.06874650372357909,0.18017510493331418,0.7279532731392696,0.5671051180861231,0.4328948819138769
SR_acum,0.01792055739378625,0.14842283286738947,0.6351631432485851,0.42578270223510783,0.5742172977648922
NO_06_09,0.6794680199181927,-0.2244135019235952,-0.03623842054585175,0.5133514330608189,0.4866485669391811
NO2_06_09,0.7329426490212702,-0.19861205621390723,-0.10106108546213671,0.5868650186226184,0.4131349813773816
CO_06_09,0.4904103277431312,-0.02049821647428093,0.03843801860894787,0.24239994771033374,0.7576000522896662
WSR_media,-0.10311364682782728,0.8785351677300338,0.1864994371720662,0.8172385051660699,0.18276149483393012
WSR_min,-0.14740534066426572,0.7692213944348496,-0.020654626486941125,0.6138565017079578,0.3861434982920422
PRS_media,-0.24204459168645986,-0.22951305504726513,-0.14575770913013258,0.13250713657265842,0.8674928634273416
RH_media,-0.3672113225033026,-0.08102102169836456,-0.48240196023606835,0.37412021257127276,0.6258797874287272
viento_u_media,0.17292821547448597,-0.5194150063347938,-0.1385214876873687,0.3188843190640858,0.6811156809359142
viento_v_media,-0.10807866247145173,0.15002908042665924,0.09963908957466205,0.044117670426554505,0.9558823295734455
PM10_media,0.6304234362167409,-0.11629460433014624,0.20804499314924035,0.454240863102096,0.545759136897904
SO2_media,0.3696559770303553,-0.0462122396588182,0.13383730766184013,0.1566935373707207,0.8433064626292793
