variable,n,box_cox,desplazamiento,lambda,sesgo_antes,sesgo_despues,curtosis_antes,curtosis_despues,cumple
TOUT_max,22659,True,1.55,2.05536,-0.827314,-0.159294,0.509245,-0.507687,True
SR_acum,22913,False,0.0,,0.295094,0.295094,1.645879,1.645879,True
NO_06_09,22333,True,0.0,-0.09226,3.057647,0.005443,13.230568,-0.102262,True
NO2_06_09,22307,True,1.0,0.270126,1.699652,0.021,7.11622,0.406749,True
NOX_06_09,22347,True,0.0,0.016972,2.392685,0.002237,8.346602,0.492173,True
CO_06_09,22377,True,1.0,-0.23372,1.303653,0.012402,4.134658,-0.492111,True
WSR_media,22972,True,0.0,0.139109,8.18932,0.072333,142.351808,4.020415,True
WSR_min,22972,True,0.0,0.28249,8.837766,0.042219,342.922848,0.927034,True
PRS_media,23180,False,0.0,,0.123092,0.123092,-0.178303,-0.178303,True
RH_media,21864,False,0.0,,-0.361418,-0.361418,0.143288,0.143288,True
RH_min_diurna,21936,False,0.0,,0.440739,0.440739,0.115964,0.115964,True
viento_u_media,22544,True,116.158328,3.001954,-1.817336,0.291967,27.356624,5.246583,True
viento_v_media,22544,True,99.956256,2.971771,-1.581092,0.201957,28.282454,4.96571,True
PM10_media,23126,True,0.0,0.192618,1.550729,0.017652,4.908145,0.565365,True
PM2.5_media,18702,True,0.0,0.031286,2.034781,0.000174,9.881225,0.036538,True
SO2_media,22211,True,0.0,-0.209569,3.668492,-0.013869,36.677945,0.474332,True
